Text,Date,Likes,Retweets
"RT @tempodotco: Seandainya pemerintah serius menanggapi peringatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dampak banjir di t…",2025-12-09 10:58:23+00:00,0,3832
RT @WagimanDeep212_: Kalo ada peringkat Goblok di Komisi 1 DPRRI bisa jadi Endipat Wijaya inih haqul yaqueen menempati peringkat Namber wan…,2025-12-09 10:58:22+00:00,0,47
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:21+00:00,0,7406
"RT @afrkml: Jenazah &amp; bangkai menumpuk
Air bersih gk ada, semuanya kotor &amp; busuk
Makan 1 sendok sehari
Listrik padam
Internet putus
Ada yg…",2025-12-09 10:58:20+00:00,0,8151
"RT @MohamadFadila14: @unmagnetism 10 M juga hasil jerih payah rakyat tolol, emang duit pemerintah itu triliunan duit siapa ? Duit rakyat ju…",2025-12-09 10:58:19+00:00,0,10
"Gakuat banget baca berita, nangisin orang yang terkena banjir bikin gue sesak. Terus ditambah lagi pemerintah yang bacotnya gak pake otak 😵‍💫",2025-12-09 10:58:19+00:00,0,0
"RT @lilaccountz: tsunami 2004 vs banjir bandang 2025 

one is a purely natural disaster, the other is a disaster caused by environmental da…",2025-12-09 10:58:19+00:00,0,4922
"RT @lilaccountz: tsunami 2004 vs banjir bandang 2025 

one is a purely natural disaster, the other is a disaster caused by environmental da…",2025-12-09 10:58:19+00:00,0,4922
"RT @NenkMonica: Anies Rasyid Baswedan berkunjung ke Aceh Tamiang, Senin, 8 Desember 2025 untuk memberi bantuan korban banjir. https://t.co/…",2025-12-09 10:58:17+00:00,0,316
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:17+00:00,0,7406
"RT @ch_chotimah2: Bupati menyebut pihak Kemenhut membuka izin penebangan kayu pada Oktober 2025, sekitar sebulan sblm banjir bandang meland…",2025-12-09 10:58:16+00:00,0,54
"Jangan Ada Kesan Presiden Biarkan Rakyat Menderita Akibat Lahan HTI Milikinya.

“Kita harapkan sikap demokratis Prabowo untuk menyelesaikan masalah banjir itu secara menyeluruh.”

https://t.co/CiaprRSK8o https://t.co/3uqQK0id0I",2025-12-09 10:58:16+00:00,0,0
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:14+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:11+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:10+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:07+00:00,0,7406
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:07+00:00,0,7406
"RT @tempodotco: Seandainya pemerintah serius menanggapi peringatan Badan Meteorologi, Klimatologi, dan Geofisika (BMKG), dampak banjir di t…",2025-12-09 10:58:05+00:00,0,3832
"RT @SoeTjenMarching: Yang paling bertanggung-jawab atas banjir badang yang memakan sekitar seribu jiwa ini adalah: Pemerintah! 

Sebab peme…",2025-12-09 10:58:05+00:00,0,1492
"RT @bibabercerita: Sampe kondisi lagi banjir pun tetep disuruh fotokopi KK-KTP 🫡
U tahu gak sih ini udah kayak jokes komedian gitu tapi ter…",2025-12-09 10:58:04+00:00,0,7406
"Komisi IV DPR ,banjir Sumatera ,desak penghentian penebangan hutan https://t.co/8dJ2ms8H5s",2025-12-09 10:58:01+00:00,0,0
"RT @Srik4ndiMuslim2: Nama yang harus bertanggung jawab: Raja Juli (PSI), Hanif Faisol (menteri LH), dan Bahlil (menteri ESDM).
#BersihkanKa…",2025-12-09 10:58:01+00:00,0,31
"RT @AidaGreenbury: A Sumatran elephant tasked to clear logging debris after deforestation and mudslide. 

https://t.co/yQHmIzEZPl https://t…",2025-12-09 10:58:00+00:00,0,187
"RT @afrkml: Jenazah &amp; bangkai menumpuk
Air bersih gk ada, semuanya kotor &amp; busuk
Makan 1 sendok sehari
Listrik padam
Internet putus
Ada yg…",2025-12-09 10:57:58+00:00,0,8151
