Text,Date,Likes,Retweets
"RT @infoBMKG: #Gempa Mag:5.5, 09-Dec-2025 14:02:54WIB, Lok:2.54LU, 95.94BT (48 km BaratLaut SINABANG-ACEH), Kedlmn:10 Km #BMKG 
Disclaimer:…",2025-12-09 11:35:04+00:00,0,18
"RT @infoBMKG: #Gempa Mag:5.5, 09-Dec-2025 14:02:54WIB, Lok:2.54LU, 95.94BT (48 km BaratLaut SINABANG-ACEH), Kedlmn:10 Km #BMKG 
Disclaimer:…",2025-12-09 11:35:03+00:00,0,18
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:34:43+00:00,0,526
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:34:34+00:00,0,464
Jepang hampir tiap hari gempa https://t.co/LPHK6ihJ7o,2025-12-09 11:34:17+00:00,0,0
"RT @Gempa_Tsunami: Gempa Mag:5.4, 09-12-2025 14:02:53 WIB, 54 km BaratLaut SINABANG ACEH, Kedalaman:10 Km https://t.co/90WUFPh5bU",2025-12-09 11:33:47+00:00,0,70
RT @zakiberkata: Gempa Sumatera,2025-12-09 11:33:43+00:00,0,187
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:33:36+00:00,0,464
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:33:20+00:00,0,464
"RT @stravenues: Gempa 7.6 M, tapi terlihat kerusakan dapat diminimalisir karena bangunan sudah tahan gempa.

Inilah pentingnya mitigasi, bu…",2025-12-09 11:33:15+00:00,0,464
RT @zakiberkata: Gempa magnitudo 7.5 Honshu Jepang. https://t.co/xJYH1yYK4p,2025-12-09 11:33:07+00:00,0,480
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:33:03+00:00,0,526
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:32:57+00:00,0,526
"RT @okkymadasari: Banyak indikator menunjukkan penanganan bencana Sumatra terburuk dibandingkan tsunami Aceh, gempa Jogja, Palu.

Penyebab:…",2025-12-09 11:32:48+00:00,0,526
RT @andori: Jepang gempa gede gak sampe 1 jam dari kejadian perdana mentri nongol bikin pers. Evakuasi warganya gercep pol pdhl tengah male…,2025-12-09 11:32:18+00:00,0,2071
