Text,Date,Likes,Retweets
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:11:44+00:00,0,1589
"RT @Aceh: Seluruh Aceh Gelap 🕯 mati lampu  sampai Minggu, 14 Des 2025. Aceh terisolasi terputus dari jaringan listrik Sumatera. Aceh mati l…",2025-12-09 11:11:43+00:00,0,3
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:11:39+00:00,0,2390
"Banjir &amp; longsor melanda Aceh, Sumatera Utara, dan Sumatera Barat.
Ayo ikuti perkembangan penanganannya lewat kanal resmi BNPB.
Tetap waspada dan jaga keselamatan.

https://t.co/TIiL1LNNeB

BNPB Live Update Bencana",2025-12-09 11:11:33+00:00,0,0
RT @Aceh: Komentar Korban Bencana yg pernah merasakan Bencana Tsunami 2004 yang membunuh lebih 200 ribu warga Aceh dan juga jadi korban Ben…,2025-12-09 11:11:26+00:00,0,1552
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:11:24+00:00,0,3227
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:11:24+00:00,0,1589
RT @andywindarto: Gubernur Sumbar @mahyeldi_sp membatalkan resepsi pernikahan 3 orang putranya tanggal 6-7 Desember 2025 dan memindahkan ja…,2025-12-09 11:11:23+00:00,0,39
"RT @inilahdotcom: Suasana kepanikan menyelimuti Desa Aek Bottar, Kecamatan Tukka.

Banjir dan longsor besar memaksa warga bergerak cepat me…",2025-12-09 11:11:14+00:00,0,11
"RT @tempodotco: Biang Kerok Banjir Sumatera

Lebih dari 800 orang meninggal akibat banjir dan longsor di Sumatera. Pemerintah pusat tak kun…",2025-12-09 11:11:10+00:00,0,2246
"RT @persib: Kita bersuara bersama di stadion, dan bergerak bersama untuk kemanusiaan.

#PERSIB mengajak Bobotoh untuk membantu saudara-saud…",2025-12-09 11:11:07+00:00,0,1
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:46+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:45+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:40+00:00,0,1589
"RT @taufik_q: Sangat menyentuh. Begitu sedihnya dokter muda ini, melihat kondisi RSUD Tamiang Aceh, pasca bencana banjir dan longsor di Ace…",2025-12-09 11:10:38+00:00,0,9
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:10:18+00:00,0,3227
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:10:03+00:00,0,1589
RT @tempodotco: Presiden Prabowo tak kunjung menetapkan banjir dan tanah longsor di Sumatera sebagai bencana nasional. Pemerintah mengabaik…,2025-12-09 11:09:45+00:00,0,1589
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:44+00:00,0,2390
"RT @real_pcyina: PARK CHANYEOL INA PEDULI - #AllEyesOnSumatra 🇮🇩🍒

Sumatra kembali berduka.
Banjir bandang, longsor, dan rumah yang hilang…",2025-12-09 11:09:42+00:00,0,164
"RT @kompascom: ""Saat ini baru 60 persen listrik menyala di 18 kabupaten/kota yang terdampak banjir dan longsor di Aceh. Saya minta seluruh…",2025-12-09 11:09:40+00:00,0,247
RT @zakiberkata: Pohon hutan jauh lebih baik dibanding Sawit dalam menahan longsor dan banjir https://t.co/a4P6tbh2Bt,2025-12-09 11:09:39+00:00,0,3227
"RT @gimbot75: Disaat Saudara"" kita di pulau sumatera Berjuang melawan banjir &amp; longsor efek penggundulan hutan yg ugal""an, disudut sana sau…",2025-12-09 11:09:39+00:00,0,2390
"Video detik-detik korban terjebak kebakaran di gedung 7 lantai di Kemayoran menunggu untuk di evakuasi oleh petugas. Selasa 09/12
Jakarta Pusat https://t.co/r29ZJLmcZ9",2025-12-09 11:09:35+00:00,0,0
